t u f_threshhold r_threshhold refrac_timer/refrac_t
1.995 8.82775 15 40 1
2 8.82947 15 40 1
2.005 8.83118 15 40 1
2.01 8.83286 15 40 1
2.015 8.83453 15 40 1
2.02 8.83619 15 40 1
2.025 8.83783 15 40 1
2.03 8.83945 15 40 1
2.035 8.84105 15 40 1
2.04 8.84264 15 40 1
2.045 8.84422 15 40 1
2.05 8.84578 15 40 1
2.055 8.84732 15 40 1
2.06 8.84884 15 40 1
2.065 8.85036 15 40 1
2.07 8.85185 15 40 1
2.075 8.85333 15 40 1
2.08 8.8548 15 40 1
2.085 8.85625 15 40 1
2.09 8.85769 15 40 1
2.095 8.85911 15 40 1
2.1 8.86052 15 40 1
2.105 8.86192 15 40 1
2.11 8.8633 15 40 1
2.115 8.86466 15 40 1
2.12 8.86602 15 40 1
2.125 8.86736 15 40 1
2.13 8.86868 15 40 1
2.135 8.87 15 40 1
2.14 8.8713 15 40 1
2.145 8.87258 15 40 1
2.15 8.87386 15 40 1
2.155 8.87512 15 40 1
2.16 8.87637 15 40 1
2.165 8.87761 15 40 1
2.17 8.87883 15 40 1
2.175 8.88004 15 40 1
2.18 8.88124 15 40 1
2.185 8.88243 15 40 1
2.19 8.8836 15 40 1
2.195 8.88477 15 40 1
2.2 8.88592 15 40 1
2.205 8.88706 15 40 1
2.21 8.88819 15 40 1
2.215 8.88931 15 40 1
2.22 8.89042 15 40 1
2.225 8.89151 15 40 1
2.23 8.8926 15 40 1
2.235 8.89367 15 40 1
2.24 8.89473 15 40 1
2.245 8.89579 15 40 1
2.25 8.89683 15 40 1
2.255 8.89786 15 40 1
2.26 8.89888 15 40 1
2.265 8.89989 15 40 1
2.27 8.90089 15 40 1
2.275 8.90188 15 40 1
2.28 8.90287 15 40 1
2.285 8.90384 15 40 1
2.29 8.9048 15 40 1
2.295 8.90575 15 40 1
2.3 8.90669 15 40 1
2.305 8.90763 15 40 1
2.31 8.90855 15 40 1
2.315 8.90946 15 40 1
2.32 8.91037 15 40 1
2.325 8.91127 15 40 1
2.33 8.91215 15 40 1
2.335 8.91303 15 40 1
2.34 8.9139 15 40 1
2.345 8.91476 15 40 1
2.35 8.91562 15 40 1
2.355 8.91646 15 40 1
2.36 8.91729 15 40 1
2.365 8.91812 15 40 1
2.37 8.91894 15 40 1
2.375 8.91975 15 40 1
2.38 8.92055 15 40 1
2.385 8.92135 15 40 1
2.39 8.92213 15 40 1
2.395 8.92291 15 40 1
2.4 8.92368 15 40 1
2.405 8.92445 15 40 1
2.41 8.9252 15 40 1
2.415 8.92595 15 40 1
2.42 8.92669 15 40 1
2.425 8.92742 15 40 1
2.43 8.92815 15 40 1
2.435 8.92887 15 40 1
2.44 8.92958 15 40 1
2.445 8.93028 15 40 1
2.45 8.93098 15 40 1
2.455 8.93167 15 40 1
2.46 8.93235 15 40 1
2.465 8.93303 15 40 1
2.47 8.9337 15 40 1
2.475 8.93436 15 40 1
2.48 8.93502 15 40 1
2.485 8.93567 15 40 1
2.49 8.93631 15 40 1
2.495 8.93695 15 40 1
2.5 8.93758 15 40 1
2.505 8.9382 15 40 1
2.51 8.93882 15 40 1
2.515 8.93943 15 40 1
2.52 8.94004 15 40 1
2.525 8.94064 15 40 1
2.53 8.94123 15 40 1
2.535 8.94182 15 40 1
2.54 8.9424 15 40 1
2.545 8.94298 15 40 1
2.55 8.94355 15 40 1
2.555 8.94411 15 40 1
2.56 8.94467 15 40 1
2.565 8.94523 15 40 1
2.57 8.94577 15 40 1
2.575 8.94632 15 40 1
2.58 8.94685 15 40 1
2.585 8.94738 15 40 1
2.59 8.94791 15 40 1
2.595 8.94843 15 40 1
2.6 8.94895 15 40 1
2.605 8.94946 15 40 1
2.61 8.94996 15 40 1
2.615 8.95046 15 40 1
2.62 8.95096 15 40 1
2.625 8.95145 15 40 1
2.63 8.95193 15 40 1
2.635 8.95241 15 40 1
2.64 8.95289 15 40 1
2.645 8.95336 15 40 1
2.65 8.95383 15 40 1
2.655 8.95429 15 40 1
2.66 8.95475 15 40 1
2.665 8.9552 15 40 1
2.67 8.95565 15 40 1
2.675 8.95609 15 40 1
2.68 8.95653 15 40 1
2.685 8.95696 15 40 1
2.69 8.9574 15 40 1
2.695 8.95782 15 40 1
2.7 8.95824 15 40 1
2.705 8.95866 15 40 1
2.71 8.95907 15 40 1
2.715 8.95948 15 40 1
2.72 8.95989 15 40 1
2.725 8.96029 15 40 1
2.73 8.96069 15 40 1
2.735 8.96108 15 40 1
2.74 8.96147 15 40 1
2.745 8.96185 15 40 1
2.75 8.96224 15 40 1
2.755 8.96261 15 40 1
2.76 8.96299 15 40 1
2.765 8.96336 15 40 1
2.77 8.96372 15 40 1
2.775 8.96409 15 40 1
2.78 8.96445 15 40 1
2.785 8.9648 15 40 1
2.79 8.96515 15 40 1
2.795 8.9655 15 40 1
2.8 8.96585 15 40 1
2.805 8.96619 15 40 1
2.81 8.96653 15 40 1
2.815 8.96686 15 40 1
2.82 8.96719 15 40 1
2.825 8.96752 15 40 1
2.83 8.96785 15 40 1
2.835 8.96817 15 40 1
2.84 8.96849 15 40 1
2.845 8.9688 15 40 1
2.85 8.96911 15 40 1
2.855 8.96942 15 40 1
2.86 8.96973 15 40 1
2.865 8.97003 15 40 1
2.87 8.97033 15 40 1
2.875 8.97063 15 40 1
2.88 8.97092 15 40 1
2.885 8.97121 15 40 1
2.89 8.9715 15 40 1
2.895 8.97178 15 40 1
2.9 8.97207 15 40 1
2.905 8.97235 15 40 1
2.91 8.97262 15 40 1
2.915 8.9729 15 40 1
2.92 8.97317 15 40 1
2.925 8.97343 15 40 1
2.93 8.9737 15 40 1
2.935 8.97396 15 40 1
2.94 8.97422 15 40 1
2.945 8.97448 15 40 1
2.95 8.97474 15 40 1
2.955 8.97499 15 40 1
2.96 8.97524 15 40 1
2.965 8.97549 15 40 1
2.97 8.97573 15 40 1
2.975 8.97597 15 40 1
2.98 8.97622 15 40 1
2.985 8.97645 15 40 1
2.99 8.97669 15 40 1
2.995 8.97692 15 40 1
3 8.97715 15 40 1
3.005 8.97738 15 40 1
3.01 8.97761 15 40 1
3.015 8.97783 15 40 1
3.02 8.97805 15 40 1
3.025 8.97827 15 40 1
3.03 8.97849 15 40 1
3.035 8.9787 15 40 1
3.04 8.97892 15 40 1
3.045 8.97913 15 40 1
3.05 8.97934 15 40 1
3.055 8.97954 15 40 1
3.06 8.97975 15 40 1
3.065 8.97995 15 40 1
3.07 8.98015 15 40 1
3.075 8.98035 15 40 1
3.08 8.98055 15 40 1
3.085 8.98074 15 40 1
3.09 8.98093 15 40 1
3.095 8.98112 15 40 1
3.1 8.98131 15 40 1
3.105 8.9815 15 40 1
3.11 8.98168 15 40 1
3.115 8.98187 15 40 1
3.12 8.98205 15 40 1
3.125 8.98223 15 40 1
3.13 8.98241 15 40 1
3.135 8.98258 15 40 1
3.14 8.98276 15 40 1
3.145 8.98293 15 40 1
3.15 8.9831 15 40 1
3.155 8.98327 15 40 1
3.16 8.98344 15 40 1
3.165 8.9836 15 40 1
3.17 8.98377 15 40 1
3.175 8.98393 15 40 1
3.18 8.98409 15 40 1
3.185 8.98425 15 40 1
3.19 8.98441 15 40 1
3.195 8.98456 15 40 1
3.2 8.98472 15 40 1
3.205 8.98487 15 40 1
3.21 8.98502 15 40 1
3.215 8.98517 15 40 1
3.22 8.98532 15 40 1
3.225 8.98546 15 40 1
3.23 8.98561 15 40 1
3.235 8.98575 15 40 1
3.24 8.9859 15 40 1
3.245 8.98604 15 40 1
3.25 8.98618 15 40 1
3.255 8.98632 15 40 1
3.26 8.98645 15 40 1
3.265 8.98659 15 40 1
3.27 8.98672 15 40 1
3.275 8.98685 15 40 1
3.28 8.98699 15 40 1
3.285 8.98712 15 40 1
3.29 8.98724 15 40 1
3.295 8.98737 15 40 1
3.3 8.9875 15 40 1
3.305 8.98762 15 40 1
3.31 8.98775 15 40 1
3.315 8.98787 15 40 1
3.32 8.98799 15 40 1
3.325 8.98811 15 40 1
3.33 8.98823 15 40 1
3.335 8.98835 15 40 1
3.34 8.98846 15 40 1
3.345 8.98858 15 40 1
3.35 8.98869 15 40 1
3.355 8.98881 15 40 1
3.36 8.98892 15 40 1
3.365 8.98903 15 40 1
3.37 8.98914 15 40 1
3.375 8.98925 15 40 1
3.38 8.98936 15 40 1
3.385 8.98946 15 40 1
3.39 8.98957 15 40 1
3.395 8.98967 15 40 1
3.4 8.98978 15 40 1
3.405 8.98988 15 40 1
3.41 8.98998 15 40 1
3.415 8.99008 15 40 1
3.42 8.99018 15 40 1
3.425 8.99028 15 40 1
3.43 8.99037 15 40 1
3.435 8.99047 15 40 1
3.44 8.99057 15 40 1
3.445 8.99066 15 40 1
3.45 8.99075 15 40 1
3.455 8.99085 15 40 1
3.46 8.99094 15 40 1
3.465 8.99103 15 40 1
3.47 8.99112 15 40 1
3.475 8.99121 15 40 1
3.48 8.99129 15 40 1
3.485 8.99138 15 40 1
3.49 8.99147 15 40 1
3.495 8.99155 15 40 1
3.5 8.99164 15 40 1
3.505 8.99172 15 40 1
3.51 8.9918 15 40 1
3.515 8.99189 15 40 1
3.52 8.99197 15 40 1
3.525 8.99205 15 40 1
3.53 8.99213 15 40 1
3.535 8.99221 15 40 1
3.54 8.99228 15 40 1
3.545 8.99236 15 40 1
3.55 8.99244 15 40 1
3.555 8.99251 15 40 1
3.56 8.99259 15 40 1
3.565 8.99266 15 40 1
3.57 8.99273 15 40 1
3.575 8.99281 15 40 1
3.58 8.99288 15 40 1
3.585 8.99295 15 40 1
3.59 8.99302 15 40 1
3.595 8.99309 15 40 1
3.6 8.99316 15 40 1
3.605 8.99323 15 40 1
3.61 8.9933 15 40 1
3.615 8.99336 15 40 1
3.62 8.99343 15 40 1
3.625 8.9935 15 40 1
3.63 8.99356 15 40 1
3.635 8.99362 15 40 1
3.64 8.99369 15 40 1
3.645 8.99375 15 40 1
3.65 8.99381 15 40 1
3.655 8.99388 15 40 1
3.66 8.99394 15 40 1
3.665 8.994 15 40 1
3.67 8.99406 15 40 1
3.675 8.99412 15 40 1
3.68 8.99418 15 40 1
3.685 8.99423 15 40 1
3.69 8.99429 15 40 1
3.695 8.99435 15 40 1
3.7 8.99441 15 40 1
3.705 8.99446 15 40 1
3.71 8.99452 15 40 1
3.715 8.99457 15 40 1
3.72 8.99463 15 40 1
3.725 8.99468 15 40 1
3.73 8.99473 15 40 1
3.735 8.99479 15 40 1
3.74 8.99484 15 40 1
3.745 8.99489 15 40 1
3.75 8.99494 15 40 1
3.755 8.99499 15 40 1
3.76 8.99504 15 40 1
3.765 8.99509 15 40 1
3.77 8.99514 15 40 1
3.775 8.99519 15 40 1
3.78 8.99524 15 40 1
3.785 8.99528 15 40 1
3.79 8.99533 15 40 1
3.795 8.99538 15 40 1
3.8 8.99542 15 40 1
3.805 8.99547 15 40 1
3.81 8.99552 15 40 1
3.815 8.99556 15 40 1
3.82 8.9956 15 40 1
3.825 8.99565 15 40 1
3.83 8.99569 15 40 1
3.835 8.99574 15 40 1
3.84 8.99578 15 40 1
3.845 8.99582 15 40 1
3.85 8.99586 15 40 1
3.855 8.9959 15 40 1
3.86 8.99594 15 40 1
3.865 8.99598 15 40 1
3.87 8.99602 15 40 1
3.875 8.99606 15 40 1
3.88 8.9961 15 40 1
3.885 8.99614 15 40 1
3.89 8.99618 15 40 1
3.895 8.99622 15 40 1
3.9 8.99626 15 40 1
3.905 8.99629 15 40 1
3.91 8.99633 15 40 1
3.915 8.99637 15 40 1
3.92 8.9964 15 40 1
3.925 8.99644 15 40 1
3.93 8.99648 15 40 1
3.935 8.99651 15 40 1
3.94 8.99655 15 40 1
3.945 8.99658 15 40 1
3.95 8.99662 15 40 1
3.955 8.99665 15 40 1
3.96 8.99668 15 40 1
3.965 8.99672 15 40 1
3.97 8.99675 15 40 1
3.975 8.99678 15 40 1
3.98 8.99681 15 40 1
3.985 8.99685 15 40 1
3.99 8.99688 15 40 1
3.995 8.99691 15 40 1
4 8.99694 15 40 1
4.005 8.99697 15 40 1
4.01 8.997 15 40 1
4.015 8.99703 15 40 1
4.02 8.99706 15 40 1
4.025 8.99709 15 40 1
4.03 8.99712 15 40 1
4.035 8.99715 15 40 1
4.04 8.99718 15 40 1
4.045 8.9972 15 40 1
4.05 8.99723 15 40 1
4.055 8.99726 15 40 1
4.06 8.99729 15 40 1
4.065 8.99731 15 40 1
4.07 8.99734 15 40 1
4.075 8.99737 15 40 1
4.08 8.99739 15 40 1
4.085 8.99742 15 40 1
4.09 8.99745 15 40 1
4.095 8.99747 15 40 1
4.1 8.9975 15 40 1
4.105 8.99752 15 40 1
4.11 8.99755 15 40 1
4.115 8.99757 15 40 1
4.12 8.99759 15 40 1
4.125 8.99762 15 40 1
4.13 8.99764 15 40 1
4.135 8.99767 15 40 1
4.14 8.99769 15 40 1
4.145 8.99771 15 40 1
4.15 8.99774 15 40 1
4.155 8.99776 15 40 1
4.16 8.99778 15 40 1
4.165 8.9978 15 40 1
4.17 8.99782 15 40 1
4.175 8.99785 15 40 1
4.18 8.99787 15 40 1
4.185 8.99789 15 40 1
4.19 8.99791 15 40 1
4.195 8.99793 15 40 1
4.2 8.99795 15 40 1
4.205 8.99797 15 40 1
4.21 8.99799 15 40 1
4.215 8.99801 15 40 1
4.22 8.99803 15 40 1
4.225 8.99805 15 40 1
4.23 8.99807 15 40 1
4.235 8.99809 15 40 1
4.24 8.99811 15 40 1
4.245 8.99813 15 40 1
4.25 8.99815 15 40 1
4.255 8.99817 15 40 1
4.26 8.99818 15 40 1
4.265 8.9982 15 40 1
4.27 8.99822 15 40 1
4.275 8.99824 15 40 1
4.28 8.99826 15 40 1
4.285 8.99827 15 40 1
4.29 8.99829 15 40 1
4.295 8.99831 15 40 1
4.3 8.99833 15 40 1
4.305 8.99834 15 40 1
4.31 8.99836 15 40 1
4.315 8.99837 15 40 1
4.32 8.99839 15 40 1
4.325 8.99841 15 40 1
4.33 8.99842 15 40 1
4.335 8.99844 15 40 1
4.34 8.99845 15 40 1
4.345 8.99847 15 40 1
4.35 8.99849 15 40 1
4.355 8.9985 15 40 1
4.36 8.99852 15 40 1
4.365 8.99853 15 40 1
4.37 8.99854 15 40 1
4.375 8.99856 15 40 1
4.38 8.99857 15 40 1
4.385 8.99859 15 40 1
4.39 8.9986 15 40 1
4.395 8.99862 15 40 1
4.4 8.99863 15 40 1
4.405 8.99864 15 40 1
4.41 8.99866 15 40 1
4.415 8.99867 15 40 1
4.42 8.99868 15 40 1
4.425 8.9987 15 40 1
4.43 8.99871 15 40 1
4.435 8.99872 15 40 1
4.44 8.99874 15 40 1
4.445 8.99875 15 40 1
4.45 8.99876 15 40 1
4.455 8.99877 15 40 1
4.46 8.99879 15 40 1
4.465 8.9988 15 40 1
4.47 8.99881 15 40 1
4.475 8.99882 15 40 1
4.48 8.99883 15 40 1
4.485 8.99885 15 40 1
4.49 8.99886 15 40 1
4.495 8.99887 15 40 1
4.5 8.99888 15 40 1
4.505 8.99889 15 40 1
4.51 8.9989 15 40 1
4.515 8.99891 15 40 1
4.52 8.99892 15 40 1
4.525 8.99893 15 40 1
4.53 8.99895 15 40 1
4.535 8.99896 15 40 1
4.54 8.99897 15 40 1
4.545 8.99898 15 40 1
4.55 8.99899 15 40 1
4.555 8.999 15 40 1
4.56 8.99901 15 40 1
4.565 8.99902 15 40 1
4.57 8.99903 15 40 1
4.575 8.99904 15 40 1
4.58 8.99905 15 40 1
4.585 8.99906 15 40 1
4.59 8.99906 15 40 1
4.595 8.99907 15 40 1
4.6 8.99908 15 40 1
4.605 8.99909 15 40 1
4.61 8.9991 15 40 1
4.615 8.99911 15 40 1
4.62 8.99912 15 40 1
4.625 8.99913 15 40 1
4.63 8.99914 15 40 1
4.635 8.99915 15 40 1
